Time_s,x_error_km,y_error_km,z_error_km,xdot_error_km_s,ydot_error_km_s,zdot_error_km_s,x_3sigma_km,y_3sigma_km,z_3sigma_km,xdot_3sigma_km_s,ydot_3sigma_km_s,zdot_3sigma_km_s
0,-451.24081119195,-221.533992743995,502.519595382237,2.99999999965122,5.99999999965119,0.999999999651161,1.67304394797653,2.34537699671529,1.32979509832523,30,30,30
200,-248.402797435218,1463.35311985501,398.605804601561,-3.42743315892407,18.8785318343455,4.76712805244724,1.35219498791182,1.85128243195424,0.811041189685052,0.00845379397642933,0.0169745821668394,0.00768752676872111
400,958.348104091262,-4797.13425528848,6063.42109960525,0.928979629271045,-18.4399801544841,24.6699555238935,1.5690150264141,1.83421557440271,0.799262356979777,0.0061952048254725,0.00694188851644695,0.00476057367340897
600,419.542359035402,-3733.33593583033,2533.22277096914,0.172366713615731,-6.90732982932272,1.50476373758607,1.55213354332895,1.75788674759897,1.01111055257943,0.00560875058248894,0.00568819594581777,0.00487806014767559
800,-66.0683708459474,-1820.62421626838,497.359939504898,-0.590394568124888,-0.745660278509105,-2.79608481086103,1.61303757235281,1.73173481108933,1.23120014608722,0.00569414500673735,0.00569054753181001,0.00517212852449668
1000,-107.273549700074,-718.610301877949,-94.8098084395051,-0.50142763840104,1.12821440485928,-2.85924699123331,1.75318683198434,1.75512046602153,1.44808812141968,0.00590831239868916,0.00585595843748414,0.00547106840056496
1200,-100.849364313726,-188.016654827129,-362.106835640896,-0.400960218415244,1.51091542024977,-2.52884564944928,1.93011865789027,1.79399790312315,1.65703687199751,0.00611477002305952,0.00596871885379798,0.00573965496460313
1400,-102.629385931418,97.0871999117171,-554.468839670348,-0.339713582167064,1.49039966499419,-2.23616989751372,2.11342769802111,1.82609723492708,1.85284788075201,0.00629600722640611,0.00602291885890568,0.00597033873968912
1600,-110.863699776284,267.274794315646,-713.441408494451,-0.299259707736795,1.36490751416992,-1.99656568299445,2.28776903378067,1.84686401200903,2.03205816944598,0.00645641008040546,0.00604821725624016,0.00616631571335944
1800,-120.708057973808,375.40356277098,-847.924497189274,-0.268193365686707,1.21950464229953,-1.79498957617024,2.44703375324049,1.85977021793009,2.19377346428664,0.00659991638543245,0.0060634339186877,0.00633368000323741
2000,-128.67517191652,445.346160755411,-959.190616802331,-0.241048392215304,1.07912208008464,-1.61862157021691,2.58954990766847,1.8691084710933,2.3389401369088,0.00672791647666023,0.00607532445375759,0.00647789234202194
2200,-134.95603149777,490.280127326419,-1048.76778448525,-0.216878856111866,0.950937525678732,-1.46010022785473,2.71572409241849,1.87793628391447,2.46956757006244,0.00684107047692365,0.0060858924724216,0.00660346849272768
2400,-139.396335826093,517.945392961254,-1117.17191137147,-0.194755767944147,0.836152510345844,-1.314317673769,2.82609172116631,1.88836478513683,2.5870749427854,0.00693930164813229,0.00609640905168577,0.00671299930881816
2600,-140.337971565781,532.38870663807,-1165.14382259241,-0.173254764913942,0.733547875236796,-1.17811308560673,2.9210986317251,1.90180474442178,2.69278352555591,0.0070227112737937,0.00610810498654572,0.00680884349731446
2800,-139.028584058568,535.890261670647,-1194.03122957254,-0.153022060811179,0.64107614591332,-1.04982896402757,3.00135061581509,1.91947265163267,2.78797159542846,0.00709188694938516,0.00612228632487084,0.00689307025108723
3000,-135.500083868858,530.583388022229,-1204.69455402235,-0.133845743023524,0.557553703726215,-0.928092045707706,3.06730734822061,1.94233743955027,2.87346185568578,0.00714733894775541,0.00613993210932581,0.00696708206672706
