Time_s,x_error_km,y_error_km,z_error_km,xdot_error_km_s,ydot_error_km_s,zdot_error_km_s,x_3sigma_km,y_3sigma_km,z_3sigma_km,xdot_3sigma_km_s,ydot_3sigma_km_s,zdot_3sigma_km_s
0,-450.669787905415,-222.089786841992,502.540786571098,2.99999999965033,5.9999999996503,0.999999999650268,1.67304394797653,2.34537699671529,1.32979509832523,30,30,30
200,4.91401057097391,-57.7589234713232,7.49434526600396,0.303033514891137,0.911678200579371,0.8074432954756,1.24290836641269,1.30805805430613,0.705878418828313,0.00865094792704935,0.00977375428944791,0.00619073182291125
400,26.7446658801591,58.8077847366089,26.5551896457165,0.252064295325456,0.662331410944159,0.219713415039267,1.27926761338591,1.42676776116535,0.672031595549144,0.00557778864228104,0.00573311493545313,0.00425891306745016
600,20.8840690816141,65.271141205837,26.8516445490195,0.145296821920692,0.376524924880179,0.108571292805809,1.22925725894872,1.36676875503692,0.826980306898406,0.00520082842559066,0.00526388243683009,0.00457961699879111
800,15.5956849527538,60.262734829972,22.6714468905789,0.0908317953698598,0.242564316001483,0.0616578425271654,1.29373195301227,1.37797629225443,1.01144774114423,0.00537117753448788,0.00542004890899543,0.00490811229295519
1000,11.1760306023807,54.1992647498746,18.6263418404637,0.0598317929699695,0.169494557501891,0.0384304410430401,1.42166105380948,1.41828668670035,1.18965420512329,0.00557406106871888,0.00555583583019679,0.00518738930704254
1200,8.25905216955653,48.7255013603071,14.9663567352459,0.041747342931844,0.124602853592797,0.0250230558533324,1.56757705813981,1.45307392275637,1.35584887184303,0.00575110124715071,0.0056207881987901,0.00542756449250909
1400,6.03741029280081,43.0982555049159,11.7826498563331,0.0300215873453729,0.0934716234881003,0.0165435428396923,1.71110212244575,1.47515687504764,1.50813490683497,0.00590993769376018,0.00565184637842828,0.00563197284035232
1600,4.66667244287055,38.2173719279454,9.05486516706833,0.0224888882559529,0.0711838282874981,0.0108589970994146,1.84497375519265,1.48842785355759,1.64591333026994,0.00605501665485228,0.00567081742666337,0.00580555251805446
1800,3.76416420356145,33.111536333583,6.59675549403482,0.0173070284697971,0.0536455714300144,0.006750712481711,1.96693212467487,1.49709964394154,1.76990921095735,0.00618628472033525,0.00568401905899268,0.00595395695618099
2000,3.34074336351296,28.49694108738,4.32234749906229,0.0138495506069525,0.0400570020835547,0.0036394243522514,2.07660800692002,1.50382643273952,1.8816501785642,0.0063031665674233,0.00569358134023647,0.00608205481603224
2200,3.45518848717984,24.2963756512727,2.58139890115035,0.0116644669916992,0.0293791078276984,0.00154661862843242,2.17398824275026,1.51038276616667,1.98246314814715,0.00640539994293989,0.00570142018372624,0.00619329596677287
2400,3.83042869624751,20.0757777564158,0.747321155288773,0.0101554071952741,0.0205486074747445,-0.000261137306393988,2.25945375125162,1.51819795837032,2.07362004076395,0.00649355996987484,0.00570937494097144,0.0062905657624242
2600,4.36898501293399,16.1586554509267,-0.633858154938935,0.00908709309852584,0.0135264803722599,-0.00140383978824654,2.33329727223436,1.52845581800093,2.15603635505525,0.00656815726970538,0.00571886358298403,0.00637589947251152
2800,4.96641715845908,12.8245140515064,-1.58389402571947,0.00827951784786141,0.00828695566558713,-0.00200140185716569,2.39569651050884,1.54206363822344,2.23032498894515,0.00662972508114906,0.00573088398589077,0.00645087181371058
3000,4.35753308472795,9.82126981511465,-2.33068712208069,0.00678574654520014,0.00417444316354998,-0.00237060167874381,2.44668615714019,1.55971702102267,2.29678726128253,0.0066786379739315,0.00574618624830469,0.00651651876245022
