Time_s,x_error_km,y_error_km,z_error_km,xdot_error_km_s,ydot_error_km_s,zdot_error_km_s,x_3sigma_km,y_3sigma_km,z_3sigma_km,xdot_3sigma_km_s,ydot_3sigma_km_s,zdot_3sigma_km_s
0,-443.062762636322,-240.02639384143,493.518746740237,3,6,1,1.67304394797653,2.34537699671529,1.32979509832523,30,30,30
200,-195.218660025379,-530.326897529956,73.0691148754055,0.378121196625102,-1.20742700398256,-1.1575279763938,1.24290836641269,1.30805805430613,0.705878418828313,0.00865094792704935,0.00977375428944791,0.00619073182291125
400,-46.1315734819091,-81.1782152176934,-70.2788089640011,0.40483381996654,0.910184968777847,-0.867590738718317,1.27926761338591,1.42676776116535,0.672031595549144,0.00557778864228104,0.00573311493545313,0.00425891306745016
600,21.033717849039,54.2058043808584,-77.9404717524569,0.36305652450659,0.776317159940547,-0.332807765602736,1.22925725894872,1.36676875503692,0.826980306898406,0.00520082842559066,0.00526388243683009,0.00457961699879111
800,38.0221866327265,86.0033762121438,-47.2336772333142,0.248172726393643,0.491198933792124,-0.0368567585842539,1.29373195301227,1.37797629225443,1.01144774114423,0.00537117753448788,0.00542004890899543,0.00490811229295519
1000,32.8619246714879,69.924943554709,-16.3796205898511,0.132921915905994,0.237974801679148,0.0731093164317294,1.42166105380948,1.41828668670035,1.18965420512329,0.00557406106871888,0.00555583583019679,0.00518738930704254
1200,21.8101492532132,40.825193341464,1.79747679526599,0.0532853175467501,0.0715866814864263,0.0851531856673069,1.56757705813981,1.45307392275637,1.35584887184303,0.00575110124715071,0.0056207881987901,0.00542756449250909
1400,11.545320617226,15.9684920028994,9.11269974240486,0.00966506330776773,-0.0119987919725792,0.0635318822391386,1.71110212244575,1.47515687504764,1.50813490683497,0.00590993769376018,0.00565184637842828,0.00563197284035232
1600,4.52543583619263,2.17697857943676,10.0629563604789,-0.00852304275324034,-0.0358554675939371,0.0381963866915047,1.84497375519265,1.48842785355759,1.64591333026994,0.00605501665485228,0.00567081742666337,0.00580555251805446
1800,0.372692085036761,-4.15249845141261,8.16033733331142,-0.0132412894439546,-0.034019958711677,0.0189696073430898,1.96693212467487,1.49709964394154,1.76990921095735,0.00618628472033525,0.00568401905899268,0.00595395695618099
2000,-1.66028042731978,-4.63389481983904,5.09337730827428,-0.0117318564996007,-0.020373227676949,0.00597585632893682,2.07660800692002,1.50382643273952,1.8816501785642,0.0063031665674233,0.00569358134023647,0.00608205481603224
2200,-2.01115037638101,-2.72818033932163,2.96609684281384,-0.00784035562416285,-0.0074652182631314,0.000165589716306092,2.17398824275026,1.51038276616667,1.98246314814715,0.00640539994293989,0.00570142018372624,0.00619329596677287
2400,-1.52709320713711,-1.19387840058334,0.340036944836356,-0.00400620845976318,-0.000919607755160534,-0.00437892377807181,2.25945375125162,1.51819795837032,2.07362004076395,0.00649355996987484,0.00570937494097144,0.0062905657624242
2600,-0.802294254950539,-0.207646776554611,-0.981788024992966,-0.00134288165791041,0.00151740616200069,-0.00496433391798012,2.33329727223436,1.52845581800093,2.15603635505525,0.00656815726970538,0.00571886358298403,0.00637589947251152
2800,-0.0334118806567858,0.654872671662815,-1.36586174670902,0.000439758279993541,0.00289328881098228,-0.00371868974692435,2.39569651050884,1.54206363822344,2.23032498894515,0.00662972508114906,0.00573088398589077,0.00645087181371058
3000,-2.25918960276977,0.662358565024988,-1.73982559513161,-0.0033516661737214,0.00142277098468169,-0.00337311467190959,2.44668615714019,1.55971702102267,2.29678726128253,0.0066786379739315,0.00574618624830469,0.00651651876245022
