Time_s,x_error_km,y_error_km,z_error_km,xdot_error_km_s,ydot_error_km_s,zdot_error_km_s,x_3sigma_km,y_3sigma_km,z_3sigma_km,xdot_3sigma_km_s,ydot_3sigma_km_s,zdot_3sigma_km_s
0,-451.903944239437,-221.303333881,503.073439714487,2.99999999965211,5.99999999965208,0.999999999652057,1.67304394797653,2.34537699671529,1.32979509832523,30,30,30
200,-277.638387981876,41.1875922644167,-87.8329677930087,-2.66772285054803,3.93488826263351,-2.63965207691482,0.900685869385294,0.735767264491615,0.278001991149509,0.00617928182826726,0.00554602078600867,0.00351755265291652
400,-86.7168065899623,246.437814451217,-153.214154932572,-0.524415620921691,2.0970044507386,-0.98146269775473,0.683692994662142,0.739609127247591,0.380110491591875,0.00426679490279489,0.004327030217948,0.00356652506972167
600,-67.5445538074946,289.051763661932,-124.189678620206,-0.187422165877788,1.17262400556785,-0.292043117127953,0.684302629234643,0.760098780968559,0.489892924831226,0.00439423812426778,0.00449662899082586,0.00389260363347915
800,-56.8958700541643,235.081630967575,-69.1833412371093,-0.0376208153370703,0.564002046468404,0.0269686394197461,0.749944445922944,0.796351616218215,0.600270727216694,0.00454594993832161,0.0046236891715939,0.00417779694342822
1000,-37.6537272404166,149.737630869941,-21.1417799498731,0.03950300426825,0.181652571011139,0.140938079394265,0.830124984051113,0.821414427975183,0.703553658224479,0.00469241300255677,0.00468187080200025,0.00441285327657321
1200,-16.9101749974398,72.7871911988441,8.85489614968901,0.0700043169166652,-0.0261071581505865,0.150213762484015,0.912339835808462,0.836943407338389,0.796862716118698,0.00483625579705029,0.00471601706645399,0.004606074530165
1400,-0.793400395281424,19.657961956189,22.0109735370083,0.0739532242515444,-0.110691516867802,0.118283352849495,0.991138520524132,0.846734600282506,0.880390549098579,0.0049694027694462,0.00473684196869219,0.004766586111945
1600,9.56692926114374,-8.46881635971295,24.860786474856,0.066162739372402,-0.119909248389969,0.0801090896106753,1.06403216928521,0.852903611088087,0.955156587319488,0.00508879177411782,0.00474892365222193,0.00490147457804672
1800,13.8462911556253,-19.0340860365541,21.8600543619323,0.0517115313924004,-0.0955527225187529,0.0472765413497407,1.13044652828251,0.857007281804096,1.02253929104652,0.00519469051923748,0.00475611986460865,0.00501664994073359
2000,13.8996062208244,-18.9366893931165,17.0030731379411,0.0359768419520479,-0.0615213081051231,0.0240375436537431,1.19029862665559,0.860262476117435,1.08351561162006,0.00528769706011656,0.00476104546473777,0.00511606825968279
2200,11.8709193601053,-14.6538062691834,11.865865730947,0.0222360460089126,-0.0324633041293985,0.00886518768274291,1.24353926449023,0.86360898019386,1.13874776561601,0.00536848159095236,0.00476547072796871,0.00520260051320031
2400,9.18544228058545,-9.25504318073217,7.9562691396377,0.011810022064247,-0.0116590217396064,0.000765873602686318,1.29018869354072,0.867790926636955,1.18872831503659,0.00543767727505261,0.00477062382347124,0.00527830596756065
2600,6.09736749199237,-4.55876046141566,4.32290452652751,0.00392252745950783,0.000467784860036069,-0.00446608760164424,1.33026934329317,0.873443817599948,1.23376890110588,0.00549579853696774,0.00477746118595727,0.00534462541223662
2800,3.46236205145851,-1.70307311043871,1.16506282115006,-0.00095714367763966,0.00516756118222994,-0.00760958532406253,1.36395511485533,0.881076575039548,1.27424680778746,0.00554344002439522,0.00478668082475458,0.00540285421943451
3000,1.05573601301876,0.224111709370845,-0.288353685732545,-0.00407363832326757,0.00676237639071742,-0.00740769849234751,1.39123023424767,0.891025331481255,1.31035068873313,0.00558081061025154,0.00479876480880778,0.0054537815738327
