Time_s,x_error_km,y_error_km,z_error_km,xdot_error_km_s,ydot_error_km_s,zdot_error_km_s,x_3sigma_km,y_3sigma_km,z_3sigma_km,xdot_3sigma_km_s,ydot_3sigma_km_s,zdot_3sigma_km_s
0,-443.912927837512,-238.554726317823,494.043754232672,3,6,1,1.67304394797653,2.34537699671529,1.32979509832523,30,30,30
200,-903.122146115772,-1124.68153247866,-67.92525513736,-2.80767901300237,-8.65600352414612,-4.65805796549128,1.17459385549595,1.1569004471832,0.672326023046091,0.00812425825277474,0.0076732040294861,0.00513165946449384
400,-204.588229912907,-495.248346874838,-224.718017021052,0.634219084475563,-1.76931896371055,-1.89494690215044,0.958767822145671,1.02278682868064,0.565363147055495,0.00486267972847897,0.00483798076830062,0.00408107479217854
600,14.8221400603561,-207.290038262227,-128.696150805747,0.669764224438094,-0.208427050916642,-0.414504996722459,0.905699825231412,0.99148650614874,0.670551010994912,0.00478542387080089,0.00486304833944589,0.00432860446282064
800,56.7050000131803,-46.7699111118318,-38.9642558169251,0.370454451574742,0.287505530845367,0.082473724396215,0.966735208819555,1.01984141228593,0.784030482822764,0.00494513251306768,0.00500852073924477,0.00455559436621583
1000,41.2517199258509,18.8670153452813,3.49948023709385,0.13459481659955,0.30110891207243,0.150597843844158,1.05949532406568,1.04957025690972,0.898179362027153,0.00508796461223867,0.00507320173058978,0.00477414029881253
1200,17.4630996029227,27.7279908001101,13.6058408312433,0.00981281861870831,0.169675136524681,0.0966642425822855,1.15991031941059,1.06940909246279,1.01050571568605,0.00523035082740723,0.00510624611975981,0.00497070057959326
1400,2.18849549645802,17.4328131860038,11.2453772953527,-0.0312346410863391,0.0589204931525815,0.0415143441778294,1.26006767304746,1.08229860006957,1.1165017729743,0.00537008033491302,0.00512843932025008,0.00514191811308424
1600,-4.51299732405005,6.72484237633398,5.95128298490863,-0.0327188773072549,0.00386714914382225,0.00837776186616424,1.35502623866645,1.09077907403583,1.2138227400217,0.00549984491688358,0.0051430351888912,0.00528992550683012
1800,-5.18843696910881,1.36351622407165,2.20691066923382,-0.0197087774824185,-0.0102880916454038,-0.00416154878083086,1.44203604114188,1.09651575062715,1.30197114346363,0.00561630211706796,0.00515223365608592,0.00541764765280934
2000,-3.72728555138929,-0.658034884623703,-0.0714552662698225,-0.00812083557519472,-0.00914895886080247,-0.00731079845541194,1.52025920475831,1.10096108499678,1.38160442916559,0.0057191289081983,0.00515856379940358,0.00552839886375921
2200,-2.4953111351906,-0.56022812764968,-0.307836268290885,-0.00212546389474522,-0.00403187715843067,-0.00421827243015971,1.58962177048941,1.1053895645636,1.45349526830261,0.00580861088696844,0.00516403533456702,0.00562472432783413
2400,-0.49119178030378,-0.487049635448784,-0.568071368949404,0.00276423257455471,-0.00133731985432783,-0.00268041672566188,1.65039824119774,1.11081472494235,1.51850759048178,0.00588547022424601,0.00517007797997154,0.00570903050682809
2600,-0.13299196308526,-0.611284027168949,0.0902569372328799,0.00232391199324988,-0.00089337235182807,-0.000329461278264054,1.70272506394404,1.11805878923757,1.57715980469656,0.00595018532554471,0.00517776361551884,0.0057828986180116
2800,1.15456799724143,-0.0235346081535681,-0.778757800194398,0.00349939531728349,0.00118071865689795,-0.00190307752701313,1.74676779704112,1.12782004058095,1.629906330765,0.00600333024047671,0.00518797024957974,0.00584773438662364
3000,0.68629680072263,-0.0893236799747683,-0.909157591152052,0.00147914511024982,0.000187019532900567,-0.00145829240362633,1.78256284193152,1.14056818847556,1.6769555802114,0.00604525078031636,0.00520124370557609,0.00590442015837274
