Time_s,x_error_km,y_error_km,z_error_km,xdot_error_km_s,ydot_error_km_s,zdot_error_km_s,x_3sigma_km,y_3sigma_km,z_3sigma_km,xdot_3sigma_km_s,ydot_3sigma_km_s,zdot_3sigma_km_s
0,-443.866719037687,-238.921795079665,493.773820893501,3,6,1,1.67304394797653,2.34537699671529,1.32979509832523,30,30,30
200,-236.165442432908,-347.967510896841,112.68519448692,-0.30832202135313,1.3669321653529,-1.16471628630123,1.35219498791182,1.85128243195424,0.811041189685052,0.00845379397642933,0.0169745821668394,0.00768752676872111
400,-82.9127877583578,0.0301970615960272,-65.7682564241971,0.282844905927768,1.55744679180787,-0.919624329782491,1.5690150264141,1.83421557440271,0.799262356979777,0.0061952048254725,0.00694188851644695,0.00476057367340897
600,-5.43892400621189,116.805977640481,-104.53856898037,0.357206481096418,1.07972458812605,-0.450636711846723,1.55213354332895,1.75788674759897,1.01111055257943,0.00560875058248894,0.00568819594581777,0.00487806014767559
800,24.8976165794811,143.395758732097,-86.9781903544463,0.295998764368999,0.674552439892973,-0.125669470166385,1.61303757235281,1.73173481108933,1.23120014608722,0.00569414500673735,0.00569054753181001,0.00517212852449668
1000,32.927356217524,120.692205732321,-52.1558642994357,0.206333578642589,0.355520217194099,0.0409902333311229,1.75318683198434,1.75512046602153,1.44808812141968,0.00590831239868916,0.00585595843748414,0.00547106840056496
1200,31.5832509744123,80.4995611626691,-21.9693733610366,0.127093742198255,0.135358814965312,0.098412457976786,1.93011865789027,1.79399790312315,1.65703687199751,0.00611477002305952,0.00596871885379798,0.00573965496460313
1400,26.0630506932321,41.8339084783165,-1.02895152529391,0.0687422597212699,0.00712851373958667,0.102679645369876,2.11342769802111,1.82609723492708,1.85284788075201,0.00629600722640611,0.00602291885890568,0.00597033873968912
1600,19.1362316480345,15.0100583477015,10.8772093204298,0.0306917360133234,-0.0475787130560938,0.0855652617698941,2.28776903378067,1.84686401200903,2.03205816944598,0.00645641008040546,0.00604821725624016,0.00616631571335944
1800,12.5698468194269,0.451648549858874,14.4247312689449,0.00866480261514235,-0.0571978923365859,0.0601213687251075,2.44703375324049,1.85977021793009,2.19377346428664,0.00659991638543245,0.0060634339186877,0.00633368000323741
2000,8.49872491112274,-6.31418822950036,14.3876425061758,-0.000745013894161151,-0.0484463758335911,0.038793995315453,2.58954990766847,1.8691084710933,2.3389401369088,0.00672791647666023,0.00607532445375759,0.00647789234202194
2200,4.49557513790751,-8.07967508514957,11.6007894812924,-0.00689859849127838,-0.0334917121063261,0.0210914567163938,2.71572409241849,1.87793628391447,2.46956757006244,0.00684107047692365,0.0060858924724216,0.00660346849272768
2400,0.0268112283538358,-6.45131320137079,8.13134374442734,-0.011472140636593,-0.0179552295811805,0.00899285625436275,2.82609172116631,1.88836478513683,2.5870749427854,0.00693930164813229,0.00609640905168577,0.00671299930881816
2600,-1.37925343924326,-3.94655800784676,5.34804412792937,-0.00999409831404963,-0.00679411886188364,0.00200966388820756,2.9210986317251,1.90180474442178,2.69278352555591,0.0070227112737937,0.00610810498654572,0.00680884349731446
2800,-2.57046428067224,-2.4304916492656,2.469173447912,-0.0088195846563881,-0.00184109353671413,-0.00303026165143361,3.00135061581509,1.91947265163267,2.78797159542846,0.00709188694938516,0.00612228632487084,0.00689307025108723
3000,-3.36296543944991,-1.44665214371162,0.0447683682391471,-0.00755891021319499,0.000685667933501,-0.00582957955867092,3.06730734822061,1.94233743955027,2.87346185568578,0.00714733894775541,0.00613993210932581,0.00696708206672706
